TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Diabetes
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"110001 ALTA FLORESTA D'OESTE";1;-;3;4
"110002 ARIQUEMES";1;4;27;32
"110003 CABIXI";-;-;2;2
"110004 CACOAL";-;2;25;27
"110005 CEREJEIRAS";-;-;3;3
"110006 COLORADO DO OESTE";-;1;3;4
"110007 CORUMBIARA";-;-;1;1
"110008 COSTA MARQUES";-;1;4;5
"110009 ESPIGAO D'OESTE";-;-;2;2
"110010 GUAJARA-MIRIM";-;1;20;21
"110011 JARU";4;-;2;6
"110012 JI-PARANA";8;2;19;29
"110013 MACHADINHO D'OESTE";-;-;1;1
"110014 NOVA BRASILANDIA D'OESTE";-;1;1;2
"110015 OURO PRETO DO OESTE";-;1;6;7
"110018 PIMENTA BUENO";-;-;5;5
"110020 PORTO VELHO";14;23;295;332
"110025 PRESIDENTE MEDICI";3;1;1;5
"110028 ROLIM DE MOURA";1;-;8;9
"110029 SANTA LUZIA D'OESTE";-;1;-;1
"110030 VILHENA";9;1;6;16
"110032 SAO MIGUEL DO GUAPORE";-;1;2;3
"110033 NOVA MAMORE";5;-;7;12
"110034 ALVORADA D'OESTE";-;-;7;7
"110037 ALTO ALEGRE DOS PARECIS";-;-;6;6
"110040 ALTO PARAISO";-;-;2;2
"110045 BURITIS";6;-;-;6
"110080 CANDEIAS DO JAMARI";1;1;3;5
"110092 CHUPINGUAIA";-;1;-;1
"110094 CUJUBIM";-;-;1;1
"110110 ITAPUA DO OESTE";1;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;1;1
"110130 MIRANTE DA SERRA";-;-;2;2
"110143 NOVA UNIAO";-;-;1;1
"110146 PIMENTEIRAS DO OESTE";1;-;1;2
"110148 SAO FELIPE D'OESTE";-;-;1;1
"110149 SAO FRANCISCO DO GUAPORE";2;-;-;2
"110155 TEIXEIROPOLIS";-;-;1;1
"110170 URUPA";-;-;1;1
"110175 VALE DO ANARI";-;-;1;1
"110180 VALE DO PARAISO";-;-;2;2
"120001 ACRELANDIA";-;-;2;2
"120005 ASSIS BRASIL";-;-;5;5
"120010 BRASILEIA";-;-;14;14
"120017 CAPIXABA";-;1;1;2
"120020 CRUZEIRO DO SUL";-;2;49;51
"120025 EPITACIOLANDIA";-;-;3;3
"120030 FEIJO";-;-;10;10
"120033 MANCIO LIMA";-;2;6;8
"120034 MANOEL URBANO";-;-;9;9
"120038 PLACIDO DE CASTRO";-;-;8;8
"120040 RIO BRANCO";-;6;217;223
"120045 SENADOR GUIOMARD";-;-;2;2
"120050 SENA MADUREIRA";-;-;1;1
"120060 TARAUACA";-;-;2;2
"120070 XAPURI";-;-;2;2
"120080 PORTO ACRE";-;-;5;5
"130002 ALVARAES";-;-;1;1
"130006 AMATURA";-;-;1;1
"130014 APUI";-;-;10;10
"130020 ATALAIA DO NORTE";-;-;6;6
"130030 AUTAZES";-;-;13;13
"130040 BARCELOS";-;-;5;5
"130050 BARREIRINHA";-;-;3;3
"130060 BENJAMIN CONSTANT";3;1;10;14
"130063 BERURI";-;-;7;7
"130068 BOA VISTA DO RAMOS";-;1;4;5
"130070 BOCA DO ACRE";-;1;17;18
"130080 BORBA";-;-;5;5
"130090 CANUTAMA";2;-;15;17
"130100 CARAUARI";-;-;16;16
"130110 CAREIRO";-;-;5;5
"130120 COARI";-;1;43;44
"130130 CODAJAS";1;-;3;4
"130140 EIRUNEPE";-;1;16;17
"130150 ENVIRA";-;-;2;2
"130160 FONTE BOA";-;-;4;4
"130165 GUAJARA";1;-;2;3
"130170 HUMAITA";-;3;19;22
"130180 IPIXUNA";-;-;9;9
"130185 IRANDUBA";1;1;12;14
"130190 ITACOATIARA";3;3;43;49
"130195 ITAMARATI";-;-;5;5
"130200 ITAPIRANGA";-;1;3;4
"130230 JUTAI";-;-;4;4
"130240 LABREA";-;-;14;14
"130250 MANACAPURU";6;-;29;35
"130255 MANAQUIRI";-;-;1;1
"130260 MANAUS";33;115;1911;2059
"130270 MANICORE";2;-;11;13
"130280 MARAA";-;-;2;2
"130290 MAUES";-;2;42;44
"130300 NHAMUNDA";-;-;8;8
"130310 NOVA OLINDA DO NORTE";-;1;6;7
"130320 NOVO AIRAO";4;-;-;4
"130330 NOVO ARIPUANA";1;-;6;7
"130340 PARINTINS";-;5;53;58
"130353 PRESIDENTE FIGUEIREDO";1;-;24;25
"130356 RIO PRETO DA EVA";3;1;1;5
"130360 SANTA ISABEL DO RIO NEGRO";-;-;7;7
"130370 SANTO ANTONIO DO ICA";3;-;5;8
"130380 SAO GABRIEL DA CACHOEIRA";-;-;33;33
"130390 SAO PAULO DE OLIVENCA";1;-;3;4
"130395 SAO SEBASTIAO DO UATUMA";-;-;3;3
"130400 SILVES";-;-;1;1
"130406 TABATINGA";2;2;48;52
"130410 TAPAUA";-;-;6;6
"130420 TEFE";-;3;29;32
"130423 TONANTINS";-;-;12;12
"130426 UARINI";-;-;3;3
"130430 URUCARA";1;-;9;10
"130440 URUCURITUBA";-;-;4;4
"140002 AMAJARI";-;1;1;2
"140010 BOA VISTA";2;12;121;135
"140017 CANTA";-;-;1;1
"140020 CARACARAI";-;-;2;2
"140030 MUCAJAI";-;-;1;1
"140040 NORMANDIA";1;-;4;5
"140045 PACARAIMA";-;1;4;5
"140047 RORAINOPOLIS";1;-;-;1
"150010 ABAETETUBA";25;-;17;42
"150013 ABEL FIGUEIREDO";1;-;3;4
"150020 ACARA";1;-;8;9
"150030 AFUA";1;-;-;1
"150034 AGUA AZUL DO NORTE";-;-;3;3
"150040 ALENQUER";-;2;15;17
"150050 ALMEIRIM";6;1;4;11
"150060 ALTAMIRA";1;5;40;46
"150070 ANAJAS";1;-;3;4
"150080 ANANINDEUA";44;30;329;403
"150085 ANAPU";5;-;2;7
"150090 AUGUSTO CORREA";5;2;5;12
"150095 AURORA DO PARA";1;1;3;5
"150100 AVEIRO";-;-;2;2
"150110 BAGRE";-;1;8;9
"150120 BAIAO";3;-;2;5
"150125 BANNACH";1;-;2;3
"150130 BARCARENA";9;3;33;45
"150140 BELEM";536;135;1144;1815
"150145 BELTERRA";-;-;5;5
"150150 BENEVIDES";2;1;36;39
"150157 BOM JESUS DO TOCANTINS";-;-;2;2
"150170 BRAGANCA";1;1;40;42
"150172 BRASIL NOVO";2;-;3;5
"150175 BREJO GRANDE DO ARAGUAIA";1;-;-;1
"150178 BREU BRANCO";1;1;4;6
"150180 BREVES";5;2;28;35
"150190 BUJARU";1;-;4;5
"150195 CACHOEIRA DO PIRIA";2;-;3;5
"150200 CACHOEIRA DO ARARI";-;-;1;1
"150210 CAMETA";13;-;18;31
"150215 CANAA DOS CARAJAS";-;2;6;8
"150220 CAPANEMA";2;3;20;25
"150230 CAPITAO POCO";4;1;3;8
"150240 CASTANHAL";-;3;87;90
"150250 CHAVES";-;-;2;2
"150260 COLARES";1;-;7;8
"150270 CONCEICAO DO ARAGUAIA";9;-;-;9
"150275 CONCORDIA DO PARA";-;-;7;7
"150277 CURIONOPOLIS";-;2;2;4
