TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Situação Encerra.
Situação Encerra.: Óbito por tuberculose
Período:2010
"Município de notificação";"Óbito por tuberculose";"Total"
"110004 CACOAL";1;1
"110012 JI-PARANA";2;2
"110014 NOVA BRASILANDIA D'OESTE";1;1
"110020 PORTO VELHO";6;6
"110033 NOVA MAMORE";1;1
"110045 BURITIS";1;1
"120010 BRASILEIA";1;1
"120020 CRUZEIRO DO SUL";1;1
"120033 MANCIO LIMA";1;1
"120040 RIO BRANCO";7;7
"130014 APUI";1;1
"130040 BARCELOS";1;1
"130060 BENJAMIN CONSTANT";2;2
"130063 BERURI";1;1
"130090 CANUTAMA";3;3
"130190 ITACOATIARA";3;3
"130240 LABREA";1;1
"130260 MANAUS";102;102
"130290 MAUES";3;3
"130370 SANTO ANTONIO DO ICA";1;1
"130406 TABATINGA";7;7
"130420 TEFE";1;1
"130423 TONANTINS";1;1
"140010 BOA VISTA";5;5
"150010 ABAETETUBA";1;1
"150040 ALENQUER";1;1
"150050 ALMEIRIM";1;1
"150060 ALTAMIRA";2;2
"150080 ANANINDEUA";19;19
"150090 AUGUSTO CORREA";2;2
"150110 BAGRE";1;1
"150140 BELEM";34;34
"150170 BRAGANCA";4;4
"150195 CACHOEIRA DO PIRIA";1;1
"150210 CAMETA";1;1
"150215 CANAA DOS CARAJAS";3;3
"150220 CAPANEMA";3;3
"150230 CAPITAO POCO";1;1
"150270 CONCEICAO DO ARAGUAIA";1;1
"150293 DOM ELISEU";2;2
"150295 ELDORADO DOS CARAJAS";1;1
"150345 IPIXUNA DO PARA";1;1
"150360 ITAITUBA";3;3
"150420 MARABA";1;1
"150440 MARAPANIM";2;2
"150442 MARITUBA";1;1
"150530 ORIXIMINA";1;1
"150550 PARAGOMINAS";2;2
"150553 PARAUAPEBAS";2;2
"150565 PLACAS";1;1
"150580 PORTEL";1;1
"150590 PORTO DE MOZ";1;1
"150613 REDENCAO";3;3
"150680 SANTAREM";1;1
"150710 SAO CAETANO DE ODIVELAS";1;1
"150730 SAO FELIX DO XINGU";1;1
"150810 TUCURUI";2;2
"160027 LARANJAL DO JARI";1;1
"160030 MACAPA";3;3
"160080 VITORIA DO JARI";1;1
"170200 ARAGUACU";1;1
"170210 ARAGUAINA";3;3
"171820 PORTO NACIONAL";2;2
"172100 PALMAS";2;2
"210060 AMARANTE DO MARANHAO";3;3
"210100 ARARI";1;1
"210130 BACURI";1;1
"210200 BOM JARDIM";1;1
