TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Outra doença
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"110001 ALTA FLORESTA D'OESTE";3;-;1;4
"110002 ARIQUEMES";4;1;27;32
"110003 CABIXI";-;-;2;2
"110004 CACOAL";-;-;27;27
"110005 CEREJEIRAS";1;-;2;3
"110006 COLORADO DO OESTE";1;1;2;4
"110007 CORUMBIARA";-;-;1;1
"110008 COSTA MARQUES";-;-;5;5
"110009 ESPIGAO D'OESTE";-;-;2;2
"110010 GUAJARA-MIRIM";5;-;16;21
"110011 JARU";5;-;1;6
"110012 JI-PARANA";21;2;6;29
"110013 MACHADINHO D'OESTE";-;-;1;1
"110014 NOVA BRASILANDIA D'OESTE";1;-;1;2
"110015 OURO PRETO DO OESTE";-;1;6;7
"110018 PIMENTA BUENO";-;-;5;5
"110020 PORTO VELHO";75;25;232;332
"110025 PRESIDENTE MEDICI";2;1;2;5
"110028 ROLIM DE MOURA";1;-;8;9
"110029 SANTA LUZIA D'OESTE";-;1;-;1
"110030 VILHENA";13;1;2;16
"110032 SAO MIGUEL DO GUAPORE";2;-;1;3
"110033 NOVA MAMORE";11;-;1;12
"110034 ALVORADA D'OESTE";2;-;5;7
"110037 ALTO ALEGRE DOS PARECIS";2;1;3;6
"110040 ALTO PARAISO";-;-;2;2
"110045 BURITIS";5;1;-;6
"110080 CANDEIAS DO JAMARI";3;-;2;5
"110092 CHUPINGUAIA";-;-;1;1
"110094 CUJUBIM";-;-;1;1
"110110 ITAPUA DO OESTE";1;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;1;1
"110130 MIRANTE DA SERRA";-;-;2;2
"110143 NOVA UNIAO";-;-;1;1
"110146 PIMENTEIRAS DO OESTE";1;-;1;2
"110148 SAO FELIPE D'OESTE";-;-;1;1
"110149 SAO FRANCISCO DO GUAPORE";1;1;-;2
"110155 TEIXEIROPOLIS";-;-;1;1
"110170 URUPA";-;-;1;1
"110175 VALE DO ANARI";1;-;-;1
"110180 VALE DO PARAISO";-;-;2;2
"120001 ACRELANDIA";-;-;2;2
"120005 ASSIS BRASIL";-;-;5;5
"120010 BRASILEIA";-;3;11;14
"120017 CAPIXABA";-;1;1;2
"120020 CRUZEIRO DO SUL";-;-;51;51
"120025 EPITACIOLANDIA";-;-;3;3
"120030 FEIJO";-;-;10;10
"120033 MANCIO LIMA";-;1;7;8
"120034 MANOEL URBANO";-;-;9;9
"120038 PLACIDO DE CASTRO";-;-;8;8
"120040 RIO BRANCO";-;22;201;223
"120045 SENADOR GUIOMARD";-;1;1;2
"120050 SENA MADUREIRA";-;-;1;1
"120060 TARAUACA";-;-;2;2
"120070 XAPURI";-;1;1;2
"120080 PORTO ACRE";-;1;4;5
"130002 ALVARAES";-;-;1;1
"130006 AMATURA";-;-;1;1
"130014 APUI";-;-;10;10
"130020 ATALAIA DO NORTE";-;-;6;6
"130030 AUTAZES";-;-;13;13
"130040 BARCELOS";-;1;4;5
"130050 BARREIRINHA";-;-;3;3
"130060 BENJAMIN CONSTANT";3;1;10;14
"130063 BERURI";-;-;7;7
"130068 BOA VISTA DO RAMOS";1;-;4;5
"130070 BOCA DO ACRE";-;-;18;18
"130080 BORBA";-;-;5;5
"130090 CANUTAMA";2;-;15;17
"130100 CARAUARI";-;3;13;16
"130110 CAREIRO";-;2;3;5
"130120 COARI";1;2;41;44
"130130 CODAJAS";2;-;2;4
"130140 EIRUNEPE";1;1;15;17
"130150 ENVIRA";-;-;2;2
"130160 FONTE BOA";-;-;4;4
"130165 GUAJARA";2;1;-;3
"130170 HUMAITA";2;-;20;22
"130180 IPIXUNA";-;-;9;9
"130185 IRANDUBA";1;2;11;14
"130190 ITACOATIARA";7;2;40;49
"130195 ITAMARATI";-;-;5;5
"130200 ITAPIRANGA";-;-;4;4
"130230 JUTAI";-;-;4;4
"130240 LABREA";-;-;14;14
"130250 MANACAPURU";8;-;27;35
"130255 MANAQUIRI";-;-;1;1
"130260 MANAUS";77;139;1843;2059
"130270 MANICORE";2;2;9;13
"130280 MARAA";-;-;2;2
"130290 MAUES";1;4;39;44
"130300 NHAMUNDA";-;-;8;8
"130310 NOVA OLINDA DO NORTE";-;-;7;7
"130320 NOVO AIRAO";4;-;-;4
"130330 NOVO ARIPUANA";1;-;6;7
"130340 PARINTINS";-;4;54;58
"130353 PRESIDENTE FIGUEIREDO";2;3;20;25
"130356 RIO PRETO DA EVA";3;-;2;5
"130360 SANTA ISABEL DO RIO NEGRO";-;2;5;7
"130370 SANTO ANTONIO DO ICA";3;-;5;8
"130380 SAO GABRIEL DA CACHOEIRA";-;1;32;33
"130390 SAO PAULO DE OLIVENCA";-;-;4;4
"130395 SAO SEBASTIAO DO UATUMA";-;-;3;3
"130400 SILVES";-;-;1;1
"130406 TABATINGA";1;4;47;52
"130410 TAPAUA";-;-;6;6
"130420 TEFE";6;1;25;32
"130423 TONANTINS";-;4;8;12
"130426 UARINI";-;-;3;3
"130430 URUCARA";1;-;9;10
"130440 URUCURITUBA";-;-;4;4
"140002 AMAJARI";-;-;2;2
"140010 BOA VISTA";6;18;111;135
"140017 CANTA";-;-;1;1
"140020 CARACARAI";-;-;2;2
"140030 MUCAJAI";1;-;-;1
"140040 NORMANDIA";3;-;2;5
"140045 PACARAIMA";-;1;4;5
"140047 RORAINOPOLIS";1;-;-;1
"150010 ABAETETUBA";33;1;8;42
"150013 ABEL FIGUEIREDO";3;-;1;4
"150020 ACARA";-;1;8;9
"150030 AFUA";1;-;-;1
"150034 AGUA AZUL DO NORTE";-;1;2;3
"150040 ALENQUER";-;2;15;17
"150050 ALMEIRIM";6;-;5;11
"150060 ALTAMIRA";1;2;43;46
"150070 ANAJAS";-;1;3;4
"150080 ANANINDEUA";53;35;315;403
"150085 ANAPU";5;-;2;7
"150090 AUGUSTO CORREA";8;-;4;12
"150095 AURORA DO PARA";1;1;3;5
"150100 AVEIRO";-;-;2;2
"150110 BAGRE";3;-;6;9
"150120 BAIAO";4;-;1;5
"150125 BANNACH";1;1;1;3
"150130 BARCARENA";3;7;35;45
"150140 BELEM";1229;183;403;1815
"150145 BELTERRA";1;1;3;5
"150150 BENEVIDES";14;3;22;39
"150157 BOM JESUS DO TOCANTINS";-;-;2;2
"150170 BRAGANCA";1;1;40;42
"150172 BRASIL NOVO";2;1;2;5
"150175 BREJO GRANDE DO ARAGUAIA";1;-;-;1
"150178 BREU BRANCO";2;-;4;6
"150180 BREVES";5;4;26;35
"150190 BUJARU";4;-;1;5
"150195 CACHOEIRA DO PIRIA";5;-;-;5
"150200 CACHOEIRA DO ARARI";-;-;1;1
"150210 CAMETA";25;-;6;31
"150215 CANAA DOS CARAJAS";2;-;6;8
"150220 CAPANEMA";4;2;19;25
"150230 CAPITAO POCO";6;-;2;8
"150240 CASTANHAL";-;5;85;90
"150250 CHAVES";2;-;-;2
"150260 COLARES";3;1;4;8
"150270 CONCEICAO DO ARAGUAIA";9;-;-;9
"150275 CONCORDIA DO PARA";2;-;5;7
"150277 CURIONOPOLIS";-;1;3;4
"150280 CURRALINHO";3;-;5;8
"150285 CURUA";-;-;1;1
"150290 CURUCA";4;1;5;10
"150293 DOM ELISEU";12;2;3;17
"150295 ELDORADO DOS CARAJAS";11;-;1;12
"150304 FLORESTA DO ARAGUAIA";1;-;-;1
"150307 GARRAFAO DO NORTE";-;-;2;2
"150309 GOIANESIA DO PARA";1;-;10;11
"150310 GURUPA";-;-;4;4
"150320 IGARAPE-ACU";6;3;10;19
"150330 IGARAPE-MIRI";4;-;6;10
"150340 INHANGAPI";1;-;1;2
"150345 IPIXUNA DO PARA";5;1;2;8
"150350 IRITUIA";-;-;3;3
"150360 ITAITUBA";12;3;37;52
"150370 ITUPIRANGA";8;-;4;12
"150375 JACAREACANGA";-;1;2;3
"150380 JACUNDA";1;-;10;11
"150390 JURUTI";3;-;16;19
"150400 LIMOEIRO DO AJURU";1;-;3;4
"150405 MAE DO RIO";-;-;6;6
"150410 MAGALHAES BARATA";-;-;2;2
"150420 MARABA";54;7;32;93
"150430 MARACANA";1;2;12;15
"150440 MARAPANIM";3;-;5;8
"150442 MARITUBA";5;2;87;94
"150445 MEDICILANDIA";-;-;2;2
"150450 MELGACO";-;-;2;2
"150460 MOCAJUBA";-;-;4;4
"150470 MOJU";8;6;1;15
"150480 MONTE ALEGRE";2;-;6;8
"150490 MUANA";2;1;3;6
"150495 NOVA ESPERANCA DO PIRIA";2;-;2;4
"150497 NOVA IPIXUNA";-;1;3;4
"150500 NOVA TIMBOTEUA";4;-;-;4
"150503 NOVO PROGRESSO";3;-;12;15
"150506 NOVO REPARTIMENTO";8;1;1;10
"150510 OBIDOS";4;1;4;9
"150520 OEIRAS DO PARA";1;-;2;3
"150530 ORIXIMINA";3;1;19;23
"150540 OUREM";1;-;1;2
"150543 OURILANDIA DO NORTE";16;1;4;21
"150548 PACAJA";-;1;2;3
"150550 PARAGOMINAS";31;4;7;42
"150553 PARAUAPEBAS";7;5;46;58
"150560 PEIXE-BOI";-;-;3;3
"150563 PICARRA";1;-;2;3
"150565 PLACAS";-;-;7;7
"150570 PONTA DE PEDRAS";2;-;1;3
"150580 PORTEL";1;-;6;7
"150590 PORTO DE MOZ";2;-;5;7
"150600 PRAINHA";-;-;6;6
"150610 PRIMAVERA";5;-;2;7
"150611 QUATIPURU";1;1;-;2
"150613 REDENCAO";3;5;52;60
"150616 RIO MARIA";-;-;2;2
"150618 RONDON DO PARA";4;-;10;14
"150619 RUROPOLIS";1;-;2;3
"150620 SALINOPOLIS";1;-;18;19
"150630 SALVATERRA";3;-;2;5
"150635 SANTA BARBARA DO PARA";5;-;4;9
"150640 SANTA CRUZ DO ARARI";-;-;2;2
"150650 SANTA IZABEL DO PARA";12;2;38;52
"150655 SANTA LUZIA DO PARA";1;-;5;6
"150658 SANTA MARIA DAS BARREIRAS";3;-;3;6
"150660 SANTA MARIA DO PARA";5;-;-;5
"150670 SANTANA DO ARAGUAIA";1;1;4;6
"150680 SANTAREM";9;5;133;147
"150690 SANTAREM NOVO";2;3;1;6
"150700 SANTO ANTONIO DO TAUA";1;-;6;7
"150710 SAO CAETANO DE ODIVELAS";5;-;1;6
"150715 SAO DOMINGOS DO ARAGUAIA";2;-;-;2
"150720 SAO DOMINGOS DO CAPIM";-;1;8;9
"150730 SAO FELIX DO XINGU";3;1;8;12
"150740 SAO FRANCISCO DO PARA";2;2;6;10
"150745 SAO GERALDO DO ARAGUAIA";-;3;2;5
"150746 SAO JOAO DA PONTA";-;-;1;1
"150747 SAO JOAO DE PIRABAS";8;-;4;12
"150750 SAO JOAO DO ARAGUAIA";1;-;-;1
"150760 SAO MIGUEL DO GUAMA";4;1;15;20
"150775 SAPUCAIA";2;1;-;3
"150780 SENADOR JOSE PORFIRIO";1;-;-;1
"150790 SOURE";5;1;3;9
"150795 TAILANDIA";15;-;-;15
"150796 TERRA ALTA";3;-;2;5
"150797 TERRA SANTA";-;1;1;2
"150800 TOME-ACU";8;4;7;19
"150803 TRACUATEUA";1;1;7;9
"150805 TRAIRAO";-;-;2;2
"150808 TUCUMA";3;-;1;4
"150810 TUCURUI";27;2;20;49
"150812 ULIANOPOLIS";1;1;6;8
"150815 URUARA";3;1;10;14
"150820 VIGIA";6;2;14;22
"150830 VISEU";12;-;3;15
"150835 VITORIA DO XINGU";-;-;2;2
"150840 XINGUARA";-;-;10;10
"160005 SERRA DO NAVIO";-;-;1;1
"160020 CALCOENE";2;-;-;2
"160027 LARANJAL DO JARI";9;-;3;12
"160030 MACAPA";44;15;118;177
"160050 OIAPOQUE";10;-;-;10
"160053 PORTO GRANDE";-;-;1;1
"160060 SANTANA";1;1;11;13
"160070 TARTARUGALZINHO";2;-;-;2
"160080 VITORIA DO JARI";2;1;-;3
"170025 ABREULANDIA";-;1;-;1
"170100 ANANAS";1;-;-;1
"170190 ARAGUACEMA";1;1;1;3
"170200 ARAGUACU";-;-;1;1
"170210 ARAGUAINA";7;3;59;69
"170220 ARAGUATINS";5;-;1;6
"170240 ARRAIAS";1;-;-;1
"170255 AUGUSTINOPOLIS";1;1;-;2
"170290 AXIXA DO TOCANTINS";-;-;1;1
"170305 BANDEIRANTES DO TOCANTINS";1;1;-;2
"170360 BRASILANDIA DO TOCANTINS";1;-;-;1
"170380 BURITI DO TOCANTINS";-;1;1;2
"170384 CAMPOS LINDOS";-;-;2;2
"170510 CHAPADA DA NATIVIDADE";-;1;1;2
"170550 COLINAS DO TOCANTINS";2;-;3;5
"170555 COMBINADO";-;-;2;2
"170700 DIANOPOLIS";1;-;3;4
"170720 DOIS IRMAOS DO TOCANTINS";-;-;1;1
"170740 ESPERANTINA";-;-;2;2
"170765 FIGUEIROPOLIS";-;-;1;1
"170900 GOIATINS";-;-;2;2
"170930 GUARAI";1;1;1;3
"170950 GURUPI";1;-;6;7
"171050 ITACAJA";7;-;-;7
"171200 LAJEADO";-;1;-;1
"171320 MIRACEMA DO TOCANTINS";-;-;2;2
"171330 MIRANORTE";-;-;2;2
"171360 MONTE DO CARMO";-;-;1;1
"171420 NATIVIDADE";-;-;2;2
"171500 NOVA ROSALANDIA";-;-;1;1
"171515 NOVO ALEGRE";-;1;2;3
"171575 PALMEIROPOLIS";1;-;1;2
"171610 PARAISO DO TOCANTINS";-;-;1;1
"171620 PARANA";-;1;-;1
"171660 PEIXE";-;-;1;1
"171820 PORTO NACIONAL";3;-;10;13
"171840 PRESIDENTE KENNEDY";-;-;2;2
"171865 RIO DA CONCEICAO";-;-;2;2
"171884 SANDOLANDIA";1;-;-;1
"172020 SAO MIGUEL DO TOCANTINS";1;-;1;2
"172049 SAO VALERIO";1;-;-;1
"172090 TAGUATINGA";2;-;-;2
"172100 PALMAS";1;6;34;41
"172110 TOCANTINIA";-;-;3;3
"172120 TOCANTINOPOLIS";-;-;1;1
"172208 WANDERLANDIA";-;-;1;1
"172210 XAMBIOA";1;1;-;2
"210005 ACAILANDIA";21;1;14;36
"210010 AFONSO CUNHA";-;-;1;1
"210020 ALCANTARA";1;-;-;1
"210030 ALDEIAS ALTAS";-;-;7;7
"210043 ALTO ALEGRE DO MARANHAO";-;-;2;2
"210047 ALTO ALEGRE DO PINDARE";3;-;5;8
"210050 ALTO PARNAIBA";-;-;3;3
"210055 AMAPA DO MARANHAO";-;-;2;2
"210060 AMARANTE DO MARANHAO";3;4;12;19
"210070 ANAJATUBA";-;-;2;2
"210080 ANAPURUS";-;-;1;1
"210087 ARAGUANA";4;-;1;5
"210090 ARAIOSES";2;-;3;5
"210095 ARAME";1;-;10;11
"210100 ARARI";6;-;3;9
"210110 AXIXA";1;-;1;2
"210120 BACABAL";-;8;60;68
"210125 BACABEIRA";-;-;1;1
"210130 BACURI";3;1;-;4
"210140 BALSAS";1;1;16;18
"210150 BARAO DE GRAJAU";1;-;-;1
"210160 BARRA DO CORDA";18;2;10;30
"210170 BARREIRINHAS";-;-;5;5
"210177 BELA VISTA DO MARANHAO";-;-;2;2
"210190 BEQUIMAO";6;3;1;10
"210193 BERNARDO DO MEARIM";1;1;-;2
"210197 BOA VISTA DO GURUPI";1;-;3;4
"210200 BOM JARDIM";1;1;33;35
"210203 BOM JESUS DAS SELVAS";1;1;1;3
"210207 BOM LUGAR";-;-;6;6
"210210 BREJO";3;-;-;3
"210215 BREJO DE AREIA";1;1;-;2
"210220 BURITI";1;-;-;1
"210230 BURITI BRAVO";3;-;1;4
"210232 BURITICUPU";-;-;12;12
"210237 CACHOEIRA GRANDE";1;-;-;1
"210240 CAJAPIO";5;-;2;7
"210250 CAJARI";-;1;2;3
"210260 CANDIDO MENDES";-;-;7;7
"210270 CANTANHEDE";-;2;3;5
"210275 CAPINZAL DO NORTE";-;-;1;1
"210280 CAROLINA";-;3;-;3
"210290 CARUTAPERA";1;1;4;6
"210300 CAXIAS";17;9;41;67
"210310 CEDRAL";-;-;3;3
"210315 CENTRO DO GUILHERME";1;-;3;4
