TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Tabagismo
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"110001 ALTA FLORESTA D'OESTE";4;-;-;4
"110002 ARIQUEMES";32;-;-;32
"110003 CABIXI";2;-;-;2
"110004 CACOAL";27;-;-;27
"110005 CEREJEIRAS";3;-;-;3
"110006 COLORADO DO OESTE";4;-;-;4
"110007 CORUMBIARA";1;-;-;1
"110008 COSTA MARQUES";5;-;-;5
"110009 ESPIGAO D'OESTE";2;-;-;2
"110010 GUAJARA-MIRIM";21;-;-;21
"110011 JARU";6;-;-;6
"110012 JI-PARANA";29;-;-;29
"110013 MACHADINHO D'OESTE";1;-;-;1
"110014 NOVA BRASILANDIA D'OESTE";2;-;-;2
"110015 OURO PRETO DO OESTE";7;-;-;7
"110018 PIMENTA BUENO";5;-;-;5
"110020 PORTO VELHO";332;-;-;332
"110025 PRESIDENTE MEDICI";5;-;-;5
"110028 ROLIM DE MOURA";9;-;-;9
"110029 SANTA LUZIA D'OESTE";1;-;-;1
"110030 VILHENA";16;-;-;16
"110032 SAO MIGUEL DO GUAPORE";3;-;-;3
"110033 NOVA MAMORE";12;-;-;12
"110034 ALVORADA D'OESTE";7;-;-;7
"110037 ALTO ALEGRE DOS PARECIS";6;-;-;6
"110040 ALTO PARAISO";2;-;-;2
"110045 BURITIS";6;-;-;6
"110080 CANDEIAS DO JAMARI";5;-;-;5
"110092 CHUPINGUAIA";1;-;-;1
"110094 CUJUBIM";1;-;-;1
"110110 ITAPUA DO OESTE";1;-;-;1
"110120 MINISTRO ANDREAZZA";1;-;-;1
"110130 MIRANTE DA SERRA";2;-;-;2
"110143 NOVA UNIAO";1;-;-;1
"110146 PIMENTEIRAS DO OESTE";2;-;-;2
"110148 SAO FELIPE D'OESTE";1;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";2;-;-;2
"110155 TEIXEIROPOLIS";1;-;-;1
"110170 URUPA";1;-;-;1
"110175 VALE DO ANARI";1;-;-;1
"110180 VALE DO PARAISO";2;-;-;2
"120001 ACRELANDIA";2;-;-;2
"120005 ASSIS BRASIL";5;-;-;5
"120010 BRASILEIA";14;-;-;14
"120017 CAPIXABA";2;-;-;2
"120020 CRUZEIRO DO SUL";51;-;-;51
"120025 EPITACIOLANDIA";3;-;-;3
"120030 FEIJO";10;-;-;10
"120033 MANCIO LIMA";8;-;-;8
"120034 MANOEL URBANO";9;-;-;9
"120038 PLACIDO DE CASTRO";8;-;-;8
"120040 RIO BRANCO";222;-;1;223
"120045 SENADOR GUIOMARD";2;-;-;2
"120050 SENA MADUREIRA";1;-;-;1
"120060 TARAUACA";2;-;-;2
"120070 XAPURI";2;-;-;2
"120080 PORTO ACRE";5;-;-;5
"130002 ALVARAES";1;-;-;1
"130006 AMATURA";1;-;-;1
"130014 APUI";10;-;-;10
"130020 ATALAIA DO NORTE";6;-;-;6
"130030 AUTAZES";13;-;-;13
"130040 BARCELOS";5;-;-;5
"130050 BARREIRINHA";3;-;-;3
"130060 BENJAMIN CONSTANT";14;-;-;14
"130063 BERURI";7;-;-;7
"130068 BOA VISTA DO RAMOS";5;-;-;5
"130070 BOCA DO ACRE";18;-;-;18
"130080 BORBA";5;-;-;5
"130090 CANUTAMA";17;-;-;17
"130100 CARAUARI";16;-;-;16
"130110 CAREIRO";5;-;-;5
"130120 COARI";43;-;1;44
"130130 CODAJAS";4;-;-;4
"130140 EIRUNEPE";17;-;-;17
"130150 ENVIRA";2;-;-;2
"130160 FONTE BOA";4;-;-;4
"130165 GUAJARA";3;-;-;3
"130170 HUMAITA";22;-;-;22
"130180 IPIXUNA";9;-;-;9
"130185 IRANDUBA";14;-;-;14
"130190 ITACOATIARA";49;-;-;49
"130195 ITAMARATI";5;-;-;5
"130200 ITAPIRANGA";4;-;-;4
"130230 JUTAI";-;-;4;4
"130240 LABREA";-;-;14;14
"130250 MANACAPURU";35;-;-;35
"130255 MANAQUIRI";1;-;-;1
"130260 MANAUS";2053;-;6;2059
"130270 MANICORE";13;-;-;13
"130280 MARAA";2;-;-;2
"130290 MAUES";44;-;-;44
"130300 NHAMUNDA";8;-;-;8
"130310 NOVA OLINDA DO NORTE";7;-;-;7
"130320 NOVO AIRAO";4;-;-;4
"130330 NOVO ARIPUANA";7;-;-;7
"130340 PARINTINS";58;-;-;58
"130353 PRESIDENTE FIGUEIREDO";25;-;-;25
"130356 RIO PRETO DA EVA";5;-;-;5
"130360 SANTA ISABEL DO RIO NEGRO";7;-;-;7
"130370 SANTO ANTONIO DO ICA";8;-;-;8
"130380 SAO GABRIEL DA CACHOEIRA";32;-;1;33
"130390 SAO PAULO DE OLIVENCA";4;-;-;4
"130395 SAO SEBASTIAO DO UATUMA";3;-;-;3
"130400 SILVES";1;-;-;1
"130406 TABATINGA";52;-;-;52
"130410 TAPAUA";6;-;-;6
"130420 TEFE";32;-;-;32
"130423 TONANTINS";12;-;-;12
"130426 UARINI";3;-;-;3
"130430 URUCARA";10;-;-;10
"130440 URUCURITUBA";4;-;-;4
"140002 AMAJARI";2;-;-;2
"140010 BOA VISTA";135;-;-;135
"140017 CANTA";1;-;-;1
"140020 CARACARAI";2;-;-;2
"140030 MUCAJAI";1;-;-;1
"140040 NORMANDIA";5;-;-;5
"140045 PACARAIMA";5;-;-;5
"140047 RORAINOPOLIS";1;-;-;1
"150010 ABAETETUBA";42;-;-;42
"150013 ABEL FIGUEIREDO";4;-;-;4
"150020 ACARA";9;-;-;9
"150030 AFUA";1;-;-;1
"150034 AGUA AZUL DO NORTE";3;-;-;3
"150040 ALENQUER";17;-;-;17
"150050 ALMEIRIM";11;-;-;11
"150060 ALTAMIRA";46;-;-;46
"150070 ANAJAS";4;-;-;4
"150080 ANANINDEUA";403;-;-;403
"150085 ANAPU";7;-;-;7
"150090 AUGUSTO CORREA";12;-;-;12
"150095 AURORA DO PARA";5;-;-;5
"150100 AVEIRO";2;-;-;2
"150110 BAGRE";9;-;-;9
"150120 BAIAO";5;-;-;5
"150125 BANNACH";3;-;-;3
"150130 BARCARENA";45;-;-;45
"150140 BELEM";1815;-;-;1815
"150145 BELTERRA";5;-;-;5
"150150 BENEVIDES";39;-;-;39
"150157 BOM JESUS DO TOCANTINS";2;-;-;2
"150170 BRAGANCA";42;-;-;42
"150172 BRASIL NOVO";5;-;-;5
"150175 BREJO GRANDE DO ARAGUAIA";1;-;-;1
"150178 BREU BRANCO";6;-;-;6
"150180 BREVES";35;-;-;35
"150190 BUJARU";5;-;-;5
"150195 CACHOEIRA DO PIRIA";5;-;-;5
"150200 CACHOEIRA DO ARARI";1;-;-;1
"150210 CAMETA";30;-;1;31
"150215 CANAA DOS CARAJAS";8;-;-;8
"150220 CAPANEMA";25;-;-;25
"150230 CAPITAO POCO";8;-;-;8
"150240 CASTANHAL";89;-;1;90
"150250 CHAVES";2;-;-;2
"150260 COLARES";8;-;-;8
"150270 CONCEICAO DO ARAGUAIA";9;-;-;9
"150275 CONCORDIA DO PARA";7;-;-;7
"150277 CURIONOPOLIS";4;-;-;4
"150280 CURRALINHO";8;-;-;8
"150285 CURUA";1;-;-;1
"150290 CURUCA";8;-;2;10
"150293 DOM ELISEU";17;-;-;17
"150295 ELDORADO DOS CARAJAS";12;-;-;12
"150304 FLORESTA DO ARAGUAIA";1;-;-;1
"150307 GARRAFAO DO NORTE";2;-;-;2
"150309 GOIANESIA DO PARA";11;-;-;11
"150310 GURUPA";4;-;-;4
"150320 IGARAPE-ACU";13;-;6;19
"150330 IGARAPE-MIRI";10;-;-;10
"150340 INHANGAPI";2;-;-;2
"150345 IPIXUNA DO PARA";8;-;-;8
"150350 IRITUIA";3;-;-;3
"150360 ITAITUBA";52;-;-;52
